names,release_year,maturity_rating,duration,description,genre,mood,cast,subtitles,audio
The Da Vinci Code,2006,U/A 16+ ,2h 29m,A Harvard professor must untangle a web of deceit linked to the works of Leonardo da Vinci after a mysterious killing at the Louvre Museum.,"['Mysteries', 'US Movies', 'Movies Based on Books', 'Thriller Movies']","Suspenseful,","['Tom Hanks', 'Audrey Tautou', 'Ian McKellen', 'Jean Reno', 'Paul Bettany', 'Alfred Molina', 'Jürgen Prochnow', 'Jean-Yves Berteloot', 'Étienne Chicot', 'Jean-Pierre Marielle']","['English,', 'English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
The Invitation,2022,U/A 16+ ,1h 45m,"Evie's long-lost cousin invites her to a swanky English wedding, where she uncovers a dark and twisted family secret that threatens to upend her life.","['US Movies', 'Thriller Movies', 'Horror Movies']","Ominous,","['Nathalie Emmanuel', 'Thomas Doherty', 'Sean Pertwee', 'Hugh Skinner', 'Carol Ann Crawford', 'Alana Boden', 'Stephanie Corneliussen', 'Courtney Taylor']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Pokémon the Movie: Secrets of the Jungle,2021,U/A 7+ ,1h 39m,"Koko grows up in the jungle with a solitary Zarude. When he meets Ash and Pikachu, he discovers the human world — and a plot threatening his home!","['Family Features', 'Anime Features', 'Children & Family Movies']","Heartfelt,","['Ikue Otani', 'Sarah Natochenny', 'Kimlinh Tran', 'Edward Bosco', 'Billy Kametz', 'James Carter Cathcart', 'Michele Knotz', 'Erica Schroeder', 'Rodger Parsons', 'Ryan Andes', 'Major Attaway', 'Kellen Goff', 'Michelle Ruff']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
STAND BY ME Doraemon 2,2020,U/A 7+ ,1h 37m,"Nobita travels to the future to show his beloved grandma his bride, but adult Nobita has fled his own wedding. Can he ever be a good husband to Shizuka?","['Family Features', 'Anime Features', 'Children & Family Movies']","Heartfelt,","['Wasabi Mizuta', 'Megumi Oohara', 'Yumi Kakazu', 'Subaru Kimura', 'Tomokazu Seki', 'Nobuko Miyamoto', 'Satoshi Tsumabuki']","['English,', 'Japanese']","['English,', 'Hindi,', 'Japanese - Audio Description,', 'Japanese [Original]']"
Chhota Bheem & Krishna: Mayanagari,2011,U/A 7+ ,1h 6m,Young lord Krishna has fallen for demoness Maayandri’s revenge plot against him! Can Bheem rescue him and thwart Maayandri’s other destructive plans?,"['Hindi-Language Movies', 'Children & Family Movies']",Exciting,"['Vatsal Dubey', 'Julie Tejwani', 'Rupa Bhimani', 'Jigna Bhardwaj', 'Rajesh Kava', 'Mousam', 'Swapnil']",['English'],"['English,', 'Hindi [Original],', 'Tamil']"
Shiva VS Autobots,2018,U/A 7+ ,1h 19m,"When an evil enemy gains control of a gadget that sends vehicles destructively spinning out of control, kid superhero Shiva must stop the chaos!","['Hindi-Language Movies', 'Children & Family Movies']",Exciting,[],['English'],"['Bangla,', 'Gujarati,', 'Hindi [Original],', 'Kannada,', 'Malayalam,', 'Marathi,', 'Tamil,', 'Telugu']"
Chhota Bheem aur Krishna,2009,U/A 7+ ,1h 8m,"Centuries after the end of a conqueror's rule, he is mysteriously back from the dead. It’s up to Bheem to save Dholakpur from being taken over!","['Hindi-Language Movies', 'Children & Family Movies']",Exciting,"['Vatsal Dubey', 'Julie Tejwani', 'Rupa Bhimani', 'Jigna Bhardwaj', 'Rajesh Kava', 'Arun Shekher', 'Sanchit Wartak']",['English'],"['English,', 'Hindi [Original],', 'Tamil']"
Keymon and Nani in Space Adventure,2013,U/A 7+ ,1h 15m,"For Rohan and his magical pal, Keymon, a trip to visit their grandmother turns into the rescue mission of a lifetime when she is kidnapped by aliens!","['Hindi-Language Movies', 'Children & Family Movies', 'Comedies']",Goofy,[],['English'],"['Bangla,', 'Gujarati,', 'Hindi [Original],', 'Kannada,', 'Malayalam,', 'Marathi,', 'Tamil,', 'Telugu']"
Barbie Mermaid Power,2022,U ,1h 6m,"Brooklyn Barbie and Malibu Barbie — plus Skipper, Stacie and Chelsea — transform into mermaids to help save Pacifica in this underwater adventure.","['US Movies', 'Children & Family Movies']",,"['America Young', 'Tatiana Varria', 'Kirsten Day', 'Tiana Camacho', 'Melanie Minichino', 'Madelyn Kratzer', 'Johnny Yong Bosch', 'Vivian Lu', 'Natalie Lashkari', 'Cassandra Lee Morris']","['English,', 'French,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Motu Patlu: Kung Fu Kings,2014,U/A 7+ ,1h 36m,"When a noted but nefarious martial artist comes to town and insults its residents, the valiant Motu seeks training from an expert to defeat him.","['Martial Arts Movies', 'Hindi-Language Movies', 'Children & Family Movies', 'Sports Movies']",Exciting,"['Saurav Chakraborty', 'Shailendra Pandey', 'Sunil Sinha', 'Amarendra Sodi', 'Aditya Jaiswal', 'Prasad Barweh']",['English'],"['Bangla,', 'Gujarati,', 'Hindi [Original],', 'Kannada,', 'Malayalam,', 'Marathi,', 'Tamil,', 'Telugu']"
Sonic the Hedgehog,2020,U/A 7+ ,1h 41m,A small-town sheriff helps an alien hedgehog with supersonic speed outrun a mad doctor who wants the creature's special powers to dominate the world.,"['Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']","Adrenaline Rush,","['James Marsden', 'Jim Carrey', 'Ben Schwartz', 'Tika Sumpter', 'Natasha Rothwell', 'Adam Pally', 'Neal McDonough']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Tom and Jerry,2021,U/A 7+ ,1h 41m,The classic cat-and-mouse duo creates chaos at a swanky NYC hotel when alley cat Tom is hired to get rid of scheming mouse Jerry before a VIP wedding.,"['Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']",Goofy,"['Chloë Grace Moretz', 'Michael Peña', 'Colin Jost', 'Rob Delaney', 'Pallavi Sharda', 'Jordan Bolger', 'Patsy Ferran', 'Ken Jeong']",['English'],"['English [Original],', 'Hindi']"
Chhota Bheem & Krishna: Pataliputra- City of the Dead,2010,U/A 7+ ,1h 5m,Krishna needs Bheem’s help: The ruined city of Pataliputra has been cursed! Can the friends do what it takes to bring light back into this town?,"['Hindi-Language Movies', 'Children & Family Movies']",Exciting,"['Vatsal Dubey', 'Julie Tejwani', 'Rupa Bhimani', 'Jigna Bhardwaj', 'Rajesh Kava', 'Arun Shekher', 'Sanchit Wartak']",['English'],"['English,', 'Hindi [Original],', 'Tamil']"
Monster House,2006,U/A 7+ ,1h 30m,"A trio of friends sets out to expose the terrors of a vacant neighborhood house, which appears to have a craving for people — and a life of its own.","['Mysteries', 'Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']",Exciting,"['Mitchel Musso', 'Sam Lerner', 'Spencer Locke', 'Steve Buscemi', 'Kathleen Turner', 'Jason Lee', 'Jon Heder', 'Maggie Gyllenhaal', ""Catherine O'Hara"", 'Fred Willard', 'Nick Cannon', 'Kevin James']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
